industry,num_firms,revenue_growth_5y,pretax_operating_margin,aftertax_roc,effective_tax_rate,unlevered_beta,levered_beta,cost_of_equity,stdev_stock_price,pretax_cost_of_debt,market_debt_to_capital,cost_of_capital,sales_to_capital,ev_to_sales,ev_to_ebitda,ev_to_ebit,price_to_book,trailing_pe,noncash_wc_pct_revenue
Engineering/Construction,1390,0.1039016103379722,0.05103313747408488,0.07191370425530605,0.2349389993321367,0.7593173946857013,1.001049199678247,0.09585906994188534,0.4013334266150131,0.057772,0.4335942318966762,0.07298965107188389,1.8622198609708,0.8331417163904553,11.25676178665598,15.73247701220291,1.338797269929496,54.77523881408556,0.166742074480186
Entertainment,733,0.09896481707317072,0.1164367044875581,0.1104082332093956,0.1688580418309515,0.9820773204991382,1.01273062606517,0.09651673424746908,0.4754234283025113,0.060013,0.1129496356378006,0.09067395889192645,1.203186003702762,4.086008084246441,18.6510960197796,32.79646400983268,3.879756392862385,120.3947657867325,0.02658281946959752
Environmental & Waste Services,397,0.1231948739495799,0.112732930985851,0.104107262845173,0.218857991266837,0.9079972563351502,1.101814896754947,0.1015321786873035,0.4397794475099763,0.057772,0.2630741066727338,0.08616419567465208,1.038750185764989,2.939585935446154,14.73594195663689,24.95585645173527,3.230666262138519,63.54047071947007,0.1551603150452389
Farming/Agriculture,428,0.1478062812500001,0.06390944254858887,0.06778885085649826,0.2287472850503595,0.4926714956404097,0.6698983445718822,0.07721527679939696,0.3616680806301981,0.057772,0.3712300016556256,0.06455632141832794,1.297762187662093,1.22078861958216,12.90828233399416,18.57862663464822,1.696640134676846,48.07524004908791,0.1853682224326317
Financial Svcs. (Non-bank & Insurance),1138,0.1702458536585366,0.1412558564710877,NA,0.1740499833727564,0.2951148309916098,0.8234879512698963,0.08586237165649516,0.4134446924749124,0.057772,0.7258880715059758,0.05483274130914689,0.09370829733743893,13.71545649795927,43.42140928005367,52.9149409569078,2.378345302376829,36.77969598617779,NA
Food Processing,1450,0.09651845656192226,0.08535824839322913,0.1197351007742026,0.2251731326547388,0.5602253462264254,0.6737244514596056,0.0774306866171758,0.3390480091894392,0.057772,0.2706192052933248,0.06814426869857931,1.708537671031893,1.343450791966096,11.07207595956246,15.46010621208901,2.190257255778186,39.76722771221749,0.1057001589800805
Food Wholesalers,183,0.1756622307692307,0.02541970227621734,0.1067498761891389,0.2413611068922022,0.498877421978958,0.6848175876595803,0.07805523018523437,0.3599066960126782,0.057772,0.3680625521577038,0.06519512955031707,5.170335656479948,0.4063924519185299,10.43092181418722,16.01070807716903,2.487621710645108,38.00458911901727,0.06759840602004305
Furn/Home Furnishings,383,0.05826565517241379,0.076458433925367,0.1260784988471352,0.1763284839789386,0.9383844270287286,0.9675096670659729,0.09397079425581428,0.3731196108275466,0.057772,0.2046293511407485,0.08356425592320954,2.273002349840159,1.159141960256098,10.62640195735794,14.66164540245441,2.148889072136155,46.60816021283126,0.06010427322295106
Green & Renewable Energy,258,0.1546570731707318,0.2772088159427238,0.0548972040319626,0.1681657061498398,0.5668002134281666,0.8366528343155816,0.08660355457196725,0.3902568545143564,0.057772,0.4166701744197298,0.0684832724540582,0.2239401164051635,7.384570471196588,14.17483835680301,23.76529429542548,1.856125230284903,72.0005708956159,0.1029291358638173
Healthcare Products,842,0.1487204181818183,0.1427490200458664,0.1370039723966101,0.1760815968571464,1.116510298878523,1.181953930030054,0.106044006260692,0.4839016842739212,0.060013,0.1217394200592536,0.09858669929284825,1.29793712995898,4.172189416209838,18.54920460669446,28.09761418039386,3.530957067275591,86.01262097813844,0.2674855667712721
